planeta,instrumento,obs,parte,hdu,n_arquivos,n_integracoes_total,wavelength_min_um,wavelength_max_um,saida_csv,saida_figura
TOI-2076_b,NIRISS_SOSS,obs10,SOSS_HDU3_ordem_1,3,8,3620,0.8515347326686116,2.827786714826026,C:\Users\Pedro\Desktop\TOI_2076\outputs\tabelas\03_curva_branca_TOI_2076_b_NIRISS_SOSS_obs10_SOSS_HDU3_ordem_1.csv,C:\Users\Pedro\Desktop\TOI_2076\outputs\figuras\curvas_brancas\03_curva_branca_TOI_2076_b_NIRISS_SOSS_obs10_SOSS_HDU3_ordem_1.png
TOI-2076_b,NIRISS_SOSS,obs10,SOSS_HDU4_ordem_2,4,8,3620,0.5866384887837632,1.4160575472955537,C:\Users\Pedro\Desktop\TOI_2076\outputs\tabelas\03_curva_branca_TOI_2076_b_NIRISS_SOSS_obs10_SOSS_HDU4_ordem_2.csv,C:\Users\Pedro\Desktop\TOI_2076\outputs\figuras\curvas_brancas\03_curva_branca_TOI_2076_b_NIRISS_SOSS_obs10_SOSS_HDU4_ordem_2.png
TOI-2076_b,NIRSpec_G395H,obs09,NRS1,2,5,13208,3.030156086863376,3.7179358606751522,C:\Users\Pedro\Desktop\TOI_2076\outputs\tabelas\03_curva_branca_TOI_2076_b_NIRSpec_G395H_obs09_NRS1.csv,C:\Users\Pedro\Desktop\TOI_2076\outputs\figuras\curvas_brancas\03_curva_branca_TOI_2076_b_NIRSpec_G395H_obs09_NRS1.png
TOI-2076_b,NIRSpec_G395H,obs09,NRS2,2,5,13208,3.823617801076298,4.503594575018696,C:\Users\Pedro\Desktop\TOI_2076\outputs\tabelas\03_curva_branca_TOI_2076_b_NIRSpec_G395H_obs09_NRS2.csv,C:\Users\Pedro\Desktop\TOI_2076\outputs\figuras\curvas_brancas\03_curva_branca_TOI_2076_b_NIRSpec_G395H_obs09_NRS2.png
TOI-2076_c,NIRISS_SOSS,obs12,SOSS_HDU3_ordem_1,3,9,4160,0.8518685459726038,2.8281076592916663,C:\Users\Pedro\Desktop\TOI_2076\outputs\tabelas\03_curva_branca_TOI_2076_c_NIRISS_SOSS_obs12_SOSS_HDU3_ordem_1.csv,C:\Users\Pedro\Desktop\TOI_2076\outputs\figuras\curvas_brancas\03_curva_branca_TOI_2076_c_NIRISS_SOSS_obs12_SOSS_HDU3_ordem_1.png
TOI-2076_c,NIRISS_SOSS,obs12,SOSS_HDU4_ordem_2,4,9,4160,0.5867100517815401,1.4160305344760817,C:\Users\Pedro\Desktop\TOI_2076\outputs\tabelas\03_curva_branca_TOI_2076_c_NIRISS_SOSS_obs12_SOSS_HDU4_ordem_2.csv,C:\Users\Pedro\Desktop\TOI_2076\outputs\figuras\curvas_brancas\03_curva_branca_TOI_2076_c_NIRISS_SOSS_obs12_SOSS_HDU4_ordem_2.png
TOI-2076_c,NIRSpec_G395H,obs11,NRS1,2,6,15179,3.0299393342474006,3.7177472070995075,C:\Users\Pedro\Desktop\TOI_2076\outputs\tabelas\03_curva_branca_TOI_2076_c_NIRSpec_G395H_obs11_NRS1.csv,C:\Users\Pedro\Desktop\TOI_2076\outputs\figuras\curvas_brancas\03_curva_branca_TOI_2076_c_NIRSpec_G395H_obs11_NRS1.png
TOI-2076_c,NIRSpec_G395H,obs11,NRS2,2,6,15179,3.823433381040103,4.503438615392283,C:\Users\Pedro\Desktop\TOI_2076\outputs\tabelas\03_curva_branca_TOI_2076_c_NIRSpec_G395H_obs11_NRS2.csv,C:\Users\Pedro\Desktop\TOI_2076\outputs\figuras\curvas_brancas\03_curva_branca_TOI_2076_c_NIRSpec_G395H_obs11_NRS2.png
TOI-2076_d,NIRISS_SOSS,obs14,SOSS_HDU3_ordem_1,3,8,3620,0.8522004674063691,2.828497546304791,C:\Users\Pedro\Desktop\TOI_2076\outputs\tabelas\03_curva_branca_TOI_2076_d_NIRISS_SOSS_obs14_SOSS_HDU3_ordem_1.csv,C:\Users\Pedro\Desktop\TOI_2076\outputs\figuras\curvas_brancas\03_curva_branca_TOI_2076_d_NIRISS_SOSS_obs14_SOSS_HDU3_ordem_1.png
TOI-2076_d,NIRISS_SOSS,obs14,SOSS_HDU4_ordem_2,4,8,3620,0.5867402182434889,1.4160298518951635,C:\Users\Pedro\Desktop\TOI_2076\outputs\tabelas\03_curva_branca_TOI_2076_d_NIRISS_SOSS_obs14_SOSS_HDU4_ordem_2.csv,C:\Users\Pedro\Desktop\TOI_2076\outputs\figuras\curvas_brancas\03_curva_branca_TOI_2076_d_NIRISS_SOSS_obs14_SOSS_HDU4_ordem_2.png
TOI-2076_d,NIRSpec_G395H,obs13,NRS1,2,5,13208,3.0305505062933404,3.718270556888963,C:\Users\Pedro\Desktop\TOI_2076\outputs\tabelas\03_curva_branca_TOI_2076_d_NIRSpec_G395H_obs13_NRS1.csv,C:\Users\Pedro\Desktop\TOI_2076\outputs\figuras\curvas_brancas\03_curva_branca_TOI_2076_d_NIRSpec_G395H_obs13_NRS1.png
TOI-2076_d,NIRSpec_G395H,obs13,NRS2,2,5,13208,3.823943196382686,4.503859283503574,C:\Users\Pedro\Desktop\TOI_2076\outputs\tabelas\03_curva_branca_TOI_2076_d_NIRSpec_G395H_obs13_NRS2.csv,C:\Users\Pedro\Desktop\TOI_2076\outputs\figuras\curvas_brancas\03_curva_branca_TOI_2076_d_NIRSpec_G395H_obs13_NRS2.png
