planeta,instrumento,obs,parte,bin_id,wavelength_min_um,wavelength_max_um,wavelength_center_um,bin_width_um,n_integracoes,n_integracoes_usadas,n_pixels_validos_mediana,fluxo_integrado_mediano,erro_integrado_mediano
TOI-2076_c,NIRISS_SOSS,obs12,HDU3,1,0.9,1.0,0.95,0.1,4160,4160,110.0,0.12724153980936165,2.173515192545031e-05
TOI-2076_c,NIRISS_SOSS,obs12,HDU3,2,1.0,1.1,1.05,0.1,4160,4160,108.0,0.12945467711538836,2.0433792540063314e-05
TOI-2076_c,NIRISS_SOSS,obs12,HDU3,3,1.1,1.2,1.15,0.1,4160,4160,105.0,0.12832458450433443,1.9875394609694457e-05
TOI-2076_c,NIRISS_SOSS,obs12,HDU3,4,1.2,1.3,1.25,0.1,4160,4160,105.0,0.13100098725369186,2.0740139009258207e-05
TOI-2076_c,NIRISS_SOSS,obs12,HDU3,5,1.3,1.4,1.35,0.1,4160,4160,103.0,0.12978177579658892,2.2233231697529356e-05
TOI-2076_c,NIRISS_SOSS,obs12,HDU3,6,1.4,1.5,1.45,0.1,4160,4160,103.0,0.1292991957969546,2.4405003606948278e-05
TOI-2076_c,NIRISS_SOSS,obs12,HDU3,7,1.5,1.6,1.55,0.1,4160,4160,103.0,0.1273818318585157,2.6809561992988015e-05
TOI-2076_c,NIRISS_SOSS,obs12,HDU3,8,1.6,1.7,1.65,0.1,4160,4160,102.0,0.12438400284969625,2.9181598436302432e-05
TOI-2076_c,NIRISS_SOSS,obs12,HDU3,9,1.7,1.8,1.75,0.1,4160,4160,102.0,0.11452084913058926,3.0488771358829326e-05
TOI-2076_c,NIRISS_SOSS,obs12,HDU3,10,1.8,1.9,1.85,0.1,4160,4160,102.0,0.10402024544286886,3.164934428503747e-05
TOI-2076_c,NIRISS_SOSS,obs12,HDU3,11,1.9,2.0,1.95,0.1,4160,4160,102.0,0.09565911896622016,3.2686293068918524e-05
TOI-2076_c,NIRISS_SOSS,obs12,HDU3,12,2.0,2.1,2.05,0.1,4160,4160,101.0,0.08836884994289575,3.432989216310391e-05
TOI-2076_c,NIRISS_SOSS,obs12,HDU3,13,2.1,2.2,2.15,0.1,4160,4160,102.0,0.08260901330673792,3.50265707662406e-05
TOI-2076_c,NIRISS_SOSS,obs12,HDU3,14,2.2,2.3,2.25,0.1,4160,4160,101.0,0.07699340818660469,3.5941044226076794e-05
TOI-2076_c,NIRISS_SOSS,obs12,HDU3,15,2.3,2.4,2.35,0.1,4160,4160,101.0,0.07007014294097821,3.6869623481915594e-05
TOI-2076_c,NIRISS_SOSS,obs12,HDU3,16,2.4,2.5,2.45,0.1,4160,4160,101.0,0.06474595663192452,3.803989652275175e-05
TOI-2076_c,NIRISS_SOSS,obs12,HDU3,17,2.5,2.6,2.55,0.1,4160,4160,101.0,0.05974439764554007,3.9303764253206835e-05
TOI-2076_c,NIRISS_SOSS,obs12,HDU3,18,2.6,2.7,2.65,0.1,4160,4160,101.0,0.05476327386506714,4.079238467873987e-05
TOI-2076_c,NIRISS_SOSS,obs12,HDU3,19,2.7,2.8,2.75,0.1,4160,4160,101.0,0.048811330750868145,4.282116567490278e-05
