planeta,instrumento,obs,parte,bin_id,wavelength_min_um,wavelength_max_um,wavelength_center_um,bin_width_um,n_integracoes,n_integracoes_usadas,n_pixels_validos_mediana,fluxo_integrado_mediano,erro_integrado_mediano
TOI-2076_d,NIRISS_SOSS,obs14,HDU3,1,0.9,1.0,0.95,0.1,3620,3620,111.0,0.12756470373033332,2.1749200766986987e-05
TOI-2076_d,NIRISS_SOSS,obs14,HDU3,2,1.0,1.1,1.05,0.1,3620,3620,107.0,0.12750183643917273,2.025869990915235e-05
TOI-2076_d,NIRISS_SOSS,obs14,HDU3,3,1.1,1.2,1.15,0.1,3620,3620,106.0,0.1287903083434126,1.9890387477568824e-05
TOI-2076_d,NIRISS_SOSS,obs14,HDU3,4,1.2,1.3,1.25,0.1,3620,3620,105.0,0.13026581038359186,2.0662637585401728e-05
TOI-2076_d,NIRISS_SOSS,obs14,HDU3,5,1.3,1.4,1.35,0.1,3620,3620,103.0,0.12915512326784728,2.2162957823743675e-05
TOI-2076_d,NIRISS_SOSS,obs14,HDU3,6,1.4,1.5,1.45,0.1,3620,3620,103.0,0.1288297908808414,2.434791809925459e-05
TOI-2076_d,NIRISS_SOSS,obs14,HDU3,7,1.5,1.6,1.55,0.1,3620,3620,103.0,0.1271766959864069,2.6776620452777608e-05
TOI-2076_d,NIRISS_SOSS,obs14,HDU3,8,1.6,1.7,1.65,0.1,3620,3620,102.0,0.12402052682222817,2.9131462440632258e-05
TOI-2076_d,NIRISS_SOSS,obs14,HDU3,9,1.7,1.8,1.75,0.1,3620,3620,102.0,0.11410428072432097,3.0425386221132398e-05
TOI-2076_d,NIRISS_SOSS,obs14,HDU3,10,1.8,1.9,1.85,0.1,3620,3620,102.0,0.10378499528667198,3.160931223450257e-05
TOI-2076_d,NIRISS_SOSS,obs14,HDU3,11,1.9,2.0,1.95,0.1,3620,3620,101.0,0.09465627497938377,3.250294936829065e-05
TOI-2076_d,NIRISS_SOSS,obs14,HDU3,12,2.0,2.1,2.05,0.1,3620,3620,102.0,0.0890490375328541,3.444352412838736e-05
TOI-2076_d,NIRISS_SOSS,obs14,HDU3,13,2.1,2.2,2.15,0.1,3620,3620,101.0,0.08170295710058942,3.4816239749216885e-05
TOI-2076_d,NIRISS_SOSS,obs14,HDU3,14,2.2,2.3,2.25,0.1,3620,3620,102.0,0.07760866593647246,3.608030151762489e-05
TOI-2076_d,NIRISS_SOSS,obs14,HDU3,15,2.3,2.4,2.35,0.1,3620,3620,101.0,0.06982806358021981,3.682873367790452e-05
TOI-2076_d,NIRISS_SOSS,obs14,HDU3,16,2.4,2.5,2.45,0.1,3620,3620,101.0,0.06421809179140028,3.7954296862452734e-05
TOI-2076_d,NIRISS_SOSS,obs14,HDU3,17,2.5,2.6,2.55,0.1,3620,3620,101.0,0.05928621484059031,3.9269725089198745e-05
TOI-2076_d,NIRISS_SOSS,obs14,HDU3,18,2.6,2.7,2.65,0.1,3620,3620,101.0,0.054215175704465046,4.0805305939940455e-05
TOI-2076_d,NIRISS_SOSS,obs14,HDU3,19,2.7,2.8,2.75,0.1,3620,3620,101.0,0.047364177736022764,4.277811153746893e-05
