instrumento,parte,descricao,bin_id,wavelength_min_um,wavelength_max_um,wavelength_center_um,bin_width_um,usar_bin,observacao
NIRISS_SOSS,HDU3,SOSS ordem/faixa principal,1,0.9,1.0,0.95,0.1,True,
NIRISS_SOSS,HDU3,SOSS ordem/faixa principal,2,1.0,1.1,1.05,0.1,True,
NIRISS_SOSS,HDU3,SOSS ordem/faixa principal,3,1.1,1.2,1.15,0.1,True,
NIRISS_SOSS,HDU3,SOSS ordem/faixa principal,4,1.2,1.3,1.25,0.1,True,
NIRISS_SOSS,HDU3,SOSS ordem/faixa principal,5,1.3,1.4,1.35,0.1,True,
NIRISS_SOSS,HDU3,SOSS ordem/faixa principal,6,1.4,1.5,1.45,0.1,True,
NIRISS_SOSS,HDU3,SOSS ordem/faixa principal,7,1.5,1.6,1.55,0.1,True,
NIRISS_SOSS,HDU3,SOSS ordem/faixa principal,8,1.6,1.7,1.65,0.1,True,
NIRISS_SOSS,HDU3,SOSS ordem/faixa principal,9,1.7,1.8,1.75,0.1,True,
NIRISS_SOSS,HDU3,SOSS ordem/faixa principal,10,1.8,1.9,1.85,0.1,True,
NIRISS_SOSS,HDU3,SOSS ordem/faixa principal,11,1.9,2.0,1.95,0.1,True,
NIRISS_SOSS,HDU3,SOSS ordem/faixa principal,12,2.0,2.1,2.05,0.1,True,
NIRISS_SOSS,HDU3,SOSS ordem/faixa principal,13,2.1,2.2,2.15,0.1,True,
NIRISS_SOSS,HDU3,SOSS ordem/faixa principal,14,2.2,2.3,2.25,0.1,True,
NIRISS_SOSS,HDU3,SOSS ordem/faixa principal,15,2.3,2.4,2.35,0.1,True,
NIRISS_SOSS,HDU3,SOSS ordem/faixa principal,16,2.4,2.5,2.45,0.1,True,
NIRISS_SOSS,HDU3,SOSS ordem/faixa principal,17,2.5,2.6,2.55,0.1,True,
NIRISS_SOSS,HDU3,SOSS ordem/faixa principal,18,2.6,2.7,2.65,0.1,True,
NIRISS_SOSS,HDU3,SOSS ordem/faixa principal,19,2.7,2.8,2.75,0.1,True,
NIRISS_SOSS,HDU4,SOSS ordem/faixa curta,1,0.6,0.7,0.65,0.1,True,
NIRISS_SOSS,HDU4,SOSS ordem/faixa curta,2,0.7,0.8,0.75,0.1,True,
NIRISS_SOSS,HDU4,SOSS ordem/faixa curta,3,0.8,0.9,0.85,0.1,True,
NIRISS_SOSS,HDU4,SOSS ordem/faixa curta,4,0.9,1.0,0.95,0.1,True,
NIRISS_SOSS,HDU4,SOSS ordem/faixa curta,5,1.0,1.1,1.05,0.1,True,
NIRISS_SOSS,HDU4,SOSS ordem/faixa curta,6,1.1,1.2,1.15,0.1,True,
NIRISS_SOSS,HDU4,SOSS ordem/faixa curta,7,1.2,1.3,1.25,0.1,True,
NIRISS_SOSS,HDU4,SOSS ordem/faixa curta,8,1.3,1.4,1.35,0.1,True,
NIRSpec_G395H,NRS1,Detector NRS1,1,3.05,3.15,3.1,0.1,True,
NIRSpec_G395H,NRS1,Detector NRS1,2,3.15,3.25,3.2,0.1,True,
NIRSpec_G395H,NRS1,Detector NRS1,3,3.25,3.35,3.3,0.1,True,
NIRSpec_G395H,NRS1,Detector NRS1,4,3.35,3.45,3.4,0.1,True,
NIRSpec_G395H,NRS1,Detector NRS1,5,3.45,3.55,3.5,0.1,True,
NIRSpec_G395H,NRS1,Detector NRS1,6,3.55,3.65,3.6,0.1,True,
NIRSpec_G395H,NRS2,Detector NRS2,1,3.85,3.95,3.9,0.1,True,
NIRSpec_G395H,NRS2,Detector NRS2,2,3.95,4.05,4.0,0.1,True,
NIRSpec_G395H,NRS2,Detector NRS2,3,4.05,4.15,4.1,0.1,True,
NIRSpec_G395H,NRS2,Detector NRS2,4,4.15,4.25,4.2,0.1,True,
NIRSpec_G395H,NRS2,Detector NRS2,5,4.25,4.35,4.3,0.1,True,
NIRSpec_G395H,NRS2,Detector NRS2,6,4.35,4.45,4.4,0.1,True,
